ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
1071.46,Szkoła Podstawowa Nr 1,10,01,426,0,,000903334,JB,1,,0,1120.00,1100,,495.00,801,,80148,02,,495.00
1071.46,Szkoła Podstawowa Nr 1,10,01,428,0,,000903334,JB,1,,0,449.00,1100,,380.00,801,,80148,02,,380.00
313.20,Szkoła Podstawowa Nr 1,10,01,430,0,,000903334,JB,1,,0,5341.00,1100,,4325.45,801,,80148,02,,4638.65
313.20,Szkoła Podstawowa Nr 1,10,01,444,0,,000903334,JB,1,,0,13304.00,1100,,13303.76,801,,80148,02,,13303.76
313.20,Szkoła Podstawowa Nr 1,10,01,471,0,,000903334,JB,1,,0,200.00,1400,,13303.76,801,,80148,02,,13303.76
31573.20,Szkoła Podstawowa Nr 1,10,01,411,0,,000903334,JB,1,,0,304688.00,1400,,291756.35,801,,80150,02,,301475.29
3937.32,Szkoła Podstawowa Nr 1,10,01,412,0,,000903334,JB,1,,0,39253.00,1400,,36203.78,801,,80150,02,,37784.19
3937.32,Szkoła Podstawowa Nr 1,10,01,421,0,,000903334,JB,1,,0,42223.20,1100,,42223.20,801,,80150,02,,42223.20
3937.32,Szkoła Podstawowa Nr 1,10,01,444,0,,000903334,JB,1,,0,98617.00,1100,,98616.05,801,,80150,02,,98616.05
276.66,Szkoła Podstawowa Nr 1,10,01,471,0,,000903334,JB,1,,0,5424.00,1400,,3677.48,801,,80150,02,,3677.48
